Tweet,emotions_merged
This is awful,anger
Gloriosa Bazigaga on #Rwanda work: 'I lost relatives in genocide but 15 yrs of peacebuilding has given me optimism it's within our power',joy
Finn singing 'Can't Fight This Feeling' in the shower and Will spying on him is one of the best scenes on any show. #glee,joy
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,sad
"Texans and Astros both shut out tonight. Houston, we're back to normal. #texans #Astros #sadness #losers",sad
@downeysduckling nick fury,anger
@CesarSampao @thisisbolton don't get me started on town centre. Used to go every week.... not been for 18 months ,sad
The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n  #inspire,joy
"@alliex both, scrap *ll the rage instead",anger
Urgent need to get a new job. The constant gloom of my current one is getting a bit ridiculous now.,sad
These girls who are playful and childlike seem to have such lovely relationships. Can't imagine them having serious convos but it's cute  😍😍,joy
"It's not that the man did not know how to juggle, he just didn't have the balls to do it.\n #funny #pun #punny #lol ",joy
Retweeted GunnySmith93 (@Stephen21Smith):\n\nDays like today I am happy to be alive! #blessed ,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy
Impractical Jokers...practically genius!!!  @BQQuinn  #good4thesoul #ImpracticalJokers #bingewatching,joy
"The point of living, and being an optimist, is to be foolish enough to believe the best is yet to come' - Peter Ustinov #optimism #quote",joy
@PatVPeters @FreeBeacon Quite the response of retaliation from Weiner in getting revenge on Huma &amp; Hillary 'clam digging'.\n#AllScumbags,anger
My ukulele bag has fallen apart. 😐 WELLL AT LEAST my life hasn't yet!! #Joys\n\n#quote  #problemsolving #behappy,joy
@swarbleflop @LightskinJesuSP they're both pretty awful when you look at them historically,anger
"@my2k aaa Cam animated that, so proud of our boy",joy
Watch this amazing live.ly broadcast by @mrgummyking #lively #musically,joy
broken policy' #blasio &lt;&gt; #trump #giuliani 'broken windows' all part of 'pecking order' #bully politics #america RESIST #motto,anger
"Mate the thing I get excited about in my profession are mad. A client said she opened her bowels, I'm rejoicing",joy
jstor's lingua obscura articles are always such a delight,joy
Feel the wrath of my air-dropped pamphlets!,joy
@TheOneSoleShoe that is one thing but attacking and hating is worse - that makes us just like the angry vengeful behavior we detest,anger
@MichiganBromo Good optimism sir :),joy
I'm such a shy girl🙄,sad
PASTOR - 15 FEET away from shooting victim during protest says he is skeptical of official story.  #CharlotteProtest #CharlotteRiot,fear
mmmm i'm kinda sad i hope i can shake this before school,sad
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger
"@BratzHead happy birthday to the most beautiful cheerful sister ever, llnp 💕❣🎉",joy
@Disneyland #nothappy and still #charging the #fullprice 😡😡 #fuming some your #bestrides 😳😳,anger
Everyone is raging,anger
Sometimes I get mad over something so minuscule I try to ruin somebodies life not like lose your job like get you into federal prison #anger,anger
@Mickeyplyler @QualkTalk the refs are in GT's favor tonight. ,joy
Watch this amazing live.ly broadcast by @flydudern  #musically,joy
No one wants to win the wild card because you have to play the Cubs on the road.  #sadness,sad
@RealKyper @NHL watching the jubilant scrum at the end of the day and remembering they're all still kids! #priceless,joy
Good morning chirpy #SpringEquinox and your pensive sister #AutumnEquinox A perfect day however it is expressed 🌹🍁🌓☯️ #theBeautyofBalance,joy
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since. #sad #Autumn",sad
I told my chiropractor 'I'm here for a good time not a long time' when he questioned my habits and yet again I have unnerved a doctor,joy
Lady gaga fucking followed i have been waiting for this day for ages it fucking happened im shaking thank you so much @ladygaga ❤️,joy
@Its_just_Huong I will beat you !!! Always thought id be gryffindor so this is a whole new world for me 😨😨😨 #excited ,joy
@CallumPinner you came in at silly o'clock and woke me up that's what happened #wasted #fuming,anger
@niceoneWern @Alotta_Pain the gleesome threesome,joy
"@npagliaro1 That's awesome!  p.s. ok, what are the odds of that, swapping neighborhoods? #hilarious",joy
Congress attended by midterm liveliness differently constraints: qmiv,surprise
Wishing i was rich so i didnt have to get up this morning #poor #sleepy  #sad #needsmoresleep,sad
@paulkrugman relentless echo chamber - negative comments with lots of reverb. Typical bully behavior.,anger
@WildRoverTours Thank you for follow and its a good website you have and cheering with no hassle.,joy
@philjame5 @spoke_bros wow! that looks bright,joy
induction day tomorrow for pizza express #nervous,fear
@BTS_twt people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,joy
@SMalloy_LWOS that's not easy to blow up the LT on a run play. He created the seam for Sua to burst through,joy
"@_haye_ optimism is he'll lose, that's actually a compromise :P",joy
@DipstickDipper \n'It's alright!' She said cheerfully trying to make the moment fun,joy
@kencurtin they might get Donal óg sure! They won't have him in cork as he's to fiery for dopey frank &amp; his cult,anger
@SeanUnfiltered Texans are scared of this bunch! ,fear
@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,joy
"@carl_diggler @TMZ_Sports Thank you for saying what others are afraid to say, Carl. Big fan!",joy
Ppl like that irritate my soul,anger
@StutteringGiant at least his character in fast and furious pumped some adrenaline into the franchise. But that's about it,joy
Now that @Jasmine_Wrn has snapchat back it's a constant battle to see who can get the ugliest snap of one another 😂🙃 #snap survival,joy
@LiamCannon1 He's just too raging to type properly... Ha ha!,anger
i have so much hair it's a nightmare but it's also very soft so it guess it's a win-lose situation,joy
"One step forward, two steps backward, the link to RogerFedererShop doesn´t work.😰 I am losing hope about Roger Federer new Website #sadness",sad
The Pats are awesome. Belichick is awesome ...they just are. ,joy
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger
Now #India is #afraid of #bad .,fear
"If you truly want more of God in your life, it requires letting go of some of the old things, to allow new things to flourish. #stop #start",joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy
"@space_gayz high fantasy , i feel like you could make a melancholy college age slice of life thing work too",joy
"@ChickOfBeauty No!  By Y'all I mean rioting, fire starting, business burning, looting ASSHOLES!  That create #BlackLivesmatter ",anger
HMS Pinafore' time.\n\nI need some mirth.,joy
me: are you guys dating yet #trans #nervous #blowjobs #TFB dating in mack north ohio Bewdley,fear
"I like talking to someone who makes me laugh, laughter is the best medicine",joy
"#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism",joy
Don't be afraid to give up the good to go for the great. - John D. Rockefeller #quote #inspiration  #great #motivation,joy
When will the weeks full of Mondays end?? #disheartened,sad
@sophtulig I personally prefer being happy.,joy
if Man U lose i may actually have a nervous breakdown,fear
"@Doubtism I'm not on about history or  other people, I'm on about you. I've bullied no one, I make three posts and you attack #bully",anger
It's never the end / When the moment is dire. / A small spark of hope / Can relight a new fire.,joy
"@tabstamlyn @lara_hunt1 I will, next time I'll make sure everything is sparkling clean",joy
@kymwhitley hello Miss Lady I'm sure today brings you happiness and laughter use your voice also to make us laugh  god knows we need it,joy
@clonmacart I'm beaming with glee.,joy
Feeling #gloomy,sad
"@thehill George H. Establishment is unhappy Trump's campaign branded his son low-energy, but he could not have beaten the others either.",anger
"B day next week, catch the sauce and watch the heaviness!",joy
"Wazza blocks Carrick's shot and then misses a sitter that Memphis, who was ready beside him, surely wouldve buried. Good start lol #MUFC",joy
"Carry on my wayward son, there'll be peace when you are done. Lay your weary head to rest. Don't you cry no more. #Supernatural",joy
@ImJim_YoureNot  cyber bully,anger
@janhopis I found the first few episodes of Bojack incredibly funny. Then it got less funny but I stayed for the #drama,joy
@CNN bully,anger
India should now react to the uri attack..... #revenge,anger
Just want Saturday to be over but then again I want to do good #LSAT ,joy
"Well stock finished &amp; listed, living room moved around, new editing done &amp; fitted in a visit to the in-laws. #productivityatitsfinest #happy",joy
@lesyoung01 a rabid dog being ridden by the child who has eaten all the flesh off one fellow and the limbs of the other adults.,anger
American Schools are lively,joy
#India right of reply at #UNGA - #Pakistan preaching of human rights is by a country which is itself the global epicentre of ,anger
Accept the challenges so that you can feel the exhilaration of victory.,joy
Putin feels it acceptable to bomb &amp; kill aid workers. Soon he may be sitting at the same table as Trump!! #Armageddon #USApleasedont ,anger
Why do people gotta start so much drama ? Shoot me ☹️,anger
Did we miss the fact that #BurkeRamsey swung &amp;hit his sister #JonBenet in the face with a golf club previously out of a fit of ?,anger
nooooo. Poor Blue Bell! not again. #sad,sad
Loving @challengesophie @TEDx talk #challenge  #map #inspiration #stayunstoppable,joy
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger
@BroggersM19 @Calum250284 He had been retired 20 minutes ago by most blues on here 😊,joy
Cmon blues we are 2 home games away from another CC semi - I love those Wembley away days. Being on anyone at home please! ⚽,joy
"@ProSyndicate thanks for replying, I'm ironing my shirt😂 I'd love to meet you and get an autograph but sadly I'm too young to travel.",joy
The bounty hunter things a bit lively,joy
@WriterlyTweets Supine on the piano—lips parted. #sixwordstory #amwriting #blues #singer,joy
"The best revenge is to move on, get over it, and continue to succeed. Never give someone the satisfaction of watching you suffer.",joy
@punjabified porkistan lost terribly in 65 because of american intervation to talk we stopped,anger
"Coworker: 'That happened to a friend of mine once, but with guns instead of babies.' #workplace ",surprise
7 pax enjoyed the #gloom @Clayorangecrush @F3LakeMurray,joy
The #most wasteful day is a #day without #laughter,joy
Condolences to the  JC and the Georges family.. ,sad
"@rabpeel snap, seems to be a problem here",anger
They gonna give this KKk police bitch the minimum sentence..just wattch ,anger
I feel like an appendix. I don't have a purpose.  #depressed  #alone #lonely #broken  #cry #hurt #crying #life,sad
"Dehydrated, exhausted, stressed but still blessed. #optimism",joy
@Dak2future decorations are up all over Jersey already ,joy
"@falklands_utd @mauriciomacri \nbecause distrust in life , Argentina has a lot of heart and this President is worth every vote.",joy
"She's foaming at the lips the one between her hips @realobietrice, one of many great lyrics",joy
"@simslover163 I guess it must be really expensive... For me it's that the whole family stayed in Poland, so I really miss them...",sad
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger
@AaliyahLove69 I would be intimidated but I would like to think I would have manned up and helped.,anger
Fake people irritate me,anger
"@News24 #FMF protesters aren't interested in reasoned debate, just #intimidation #violence &amp; #disruption to get demands met",anger
Lunatic Asylum: The place where optimism most flourishes.,joy
Damn gud #premiere #LethalWeapon...#funny and #serious,joy
@UndeadLayne @Lauren_Southern all the bully,anger
and claimed that all of the same things could scare us\nbut we were tough because of ancestry,fear
It appears my fire alarm disapproves of my cooking style,sad
"“Be #positive, #cheerful, #grateful and expectant.” @NightingaleEarl  #Success #Leadership",joy
Relive Vegas' heyday with Rat Pack tribute,joy
We're going to get City in the next round for a revenge.,anger
"@LaureEve I am sitting here wrapped in a fluffy blanket, with incense burning, listening to Bon Iver and drinking mulled wine. I'm there.",joy
"Petition for non-Maghrebi PoC to stop buying 'couscous' from white grocery stores and boiling it. That is not couscous, that is trash.",anger
"@MrHenvin Thank you, happy birthday to you as well!",joy
Watch this amazing live.ly broadcast by @iamjustinburke  #musically,joy
"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",joy
How I Murdered Your Mother #SpookyTv ,fear
"I really love the customer service @LifeProof they're always so nice, helpful and cheerful !",joy
Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming 😡,anger
Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. ,joy
@wesrucker247 sounds like a good game plan for our offense....,joy
alternate reality where @PoetryFound has a comments section and you can give poems a cheery thumbs up or a disappointed thumbs down,sad
I'm literally never home and my parents threaten to charge rent if I don't start cleaning the house everyday. OK.,fear
Pochettino buoyant. Complimentary about his young players. But says 'now our attention turns to Middlesbrough'. #THFC @BBCLondonSport,joy
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear
"@MagicalMunicorn May I suggest, that you have a meal that is made with beans, onions &amp; garlic, the day before class. #revenge",anger
@julwhite chirp chirp! :),joy
I'm just tryna watch horror movies and nap all day,fear
I highly suggest if you are looking online for a company to help you send you're package overseas..DO NOT EVER EVER USE @FastLaneInt ,anger
"She began to squirm beneath @hcllbent, struggling to get out of his relentless grasp. When she realized that the attempt was useless,++",sad
I'm the reason I smile everyday 💯,joy
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy
@johnaugust @clmazin I was so looking forward to @ABCDesignated. Then it opened with a #stuartspecial. I literally yelled at my tv. #umbrage,anger
something about opening mail is just...very pleasing,joy
I love my family so much #lucky #grateful #smartassfamily #hilarious #love,joy
Every Wednesday I like to visit the inmates at Arkham. Deliver a fruit basket. And a cheery bouquet of enhanced interrogation.,joy
When you have 15 doe run the opposite side of you 🙁 #depression,sad
@DaddyION you and that awful music can take a walk... right off a cliff. K. 😘,anger
Day 9 and I am elated because I'm taking PTO tomorrow so I'm doneeeee. But:,joy
@pxrfectpeach it's got her little pout,joy
@DumTeeDum don't think Ian knew of Pavel. He knew about Charlie. I bet Rob will cackle with glee when he heard what has happened #thearchers,joy
Obama admin rejects Texas plan to have refugees vetted for terrorism so Texas pulls of of fed refugee resettlement program. Aiding #terror.,fear
"@ggreenwald Smh, remove ideologically bankrupt and opportunistic establishment now. They're burning all bridges and social contracts. #anger",anger
@GCC_DiscGolf lost my xt nova around hole 8 or 9 #sadness,sad
Ughhh love a clean house and my incense lit aromatherapy,joy
Not untill today has anyone ever said to me they remember what I had on over 7 years ago when they met me n liked me since #cutealert #happy,joy
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger
